id;schoolId;schoolType;sex;scorePISAMath;scorePISARead;scorePISAScie;age;scoreKKS;scoreKNS;scoreTMR;scoreKKS_5cat;score5KNS_5cat;scoreTMR_5cat;parEdu;hisei;noPersHous;escs;wealth;income;hedres;cultpos;homepos;studrel;disclima;libuse;ictres;usesch;attcomp;rfsintrp;rfsfumat
1;21;LO;female;611,45;522,12;520,14;17,1;193;56;50;high;high;medium;16;58;3;1,244;0,767;15,8;1,049;1,314;1,579;0,166;1,838;-0,217;1,325;-0,378;0,861;-0,292;1,348
2;21;LO;female;472,32;478,75;386,90;17,6;194;50;51;high;medium;medium;16;51;;0,362;-0,250;7,5;0,078;0,311;-0,183;-0,308;1,838;-1,847;-0,782;0,678;;2,215;-0,051
3;21;LO;female;446,75;471,61;383,26;17,9;182;49;50;medium;medium;medium;12;51;4;0,482;1,054;19,5;1,049;0,311;1,579;1,038;1,838;0,675;1,325;-1,644;-0,108;-0,078;1,621
4;21;LO;male;539,92;548,81;481,03;;;;;;;;12;56;6;0,414;0,504;13,0;1,049;1,314;1,069;-0,308;1,262;-0,456;2,211;-0,378;0,861;-0,292;0,235
5;21;LO;male;303,55;357,43;226,83;17,5;182;50;43;medium;medium;low;16;51;4;0,362;0,000;9,0;1,049;-1,739;-0,183;-0,625;0,026;0,528;0,318;0,885;-2,440;0,151;0,511
6;21;LO;male;406,13;401,77;311,94;17,1;187;51;40;medium;medium;low;12;43;4;-0,193;0,251;10,8;1,049;-0,560;0,410;0,666;;1,133;1,325;0,116;-0,108;0,749;2,680
7;21;LO;male;483,77;480,42;428,31;17,3;162;48;52;low;medium;medium;16;66;;0,762;-0,250;7,5;1,049;0,311;-0,183;0,666;1,262;0,602;0,318;-1,644;0,861;-1,257;-0,816
8;29;LO;female;548,86;606,83;576,11;17,7;216;50;49;very high;medium;medium;16;88;5;1,939;0,767;15,8;1,049;1,314;1,312;0,166;1,262;-0,456;2,211;-0,378;0,861;0,151;0,801
9;29;LO;female;460,87;493,02;507,67;17,8;179;53;43;medium;high;low;11;59;8;-0,468;-1,116;4,0;0,078;-0,560;-1,003;1,038;0,927;0,894;0,318;-0,792;-0,108;1,230;0,235
10;29;LO;female;571,76;598,70;547,55;17,6;225;55;58;very high;high;high;11;53;6;-0,304;0,000;9,0;0,078;-0,560;-0,183;1,775;1,262;0,602;1,325;-1,644;0,861;-0,292;-0,378
11;29;LO;female;651,29;616,86;600,27;18,7;184;55;59;medium;high;high;16;;3;2,009;1,857;35,1;1,049;1,314;2,808;-0,308;0,927;-0,049;1,325;-0,792;0,861;0,151;-0,378
12;29;LO;male;468,24;453,53;423,90;18,1;153;47;48;low;medium;medium;12;53;5;-0,160;-0,722;5,3;1,049;1,314;-0,183;0,666;1,262;0,371;0,318;-0,792;0,861;2,215;2,680
13;29;LO;male;554,82;517,02;594,90;17,6;105;39;41;very low;low;low;12;51;2;-0,213;-0,928;4,6;1,049;1,314;-0,183;2,447;0,927;0,285;1,325;-0,378;-0,108;1,230;1,621
14;29;LO;male;578,04;571,98;596,24;17,5;191;46;50;high;medium;medium;16;85;2;1,763;0,251;10,8;1,049;1,314;1,069;-0,308;0,927;-0,217;1,325;-1,644;-2,440;0,151;-1,690
15;29;LO;male;590,74;553,95;578,60;17,6;162;42;48;low;low;medium;12;69;3;0,501;-0,250;7,5;1,049;1,314;0,410;1,775;1,262;0,189;1,325;0,116;0,861;2,215;-0,816
16;29;LO;male;514,98;480,04;489,27;17,5;197;50;46;high;medium;medium;12;51;4;0,603;2,770;68,5;0,078;0,311;1,886;-0,625;0,927;0,081;1,325;-1,644;-0,751;-0,719;2,680
17;29;LO;male;618,04;565,46;633,62;17,2;178;43;57;medium;low;high;16;69;3;1,659;1,393;25,0;1,049;1,314;1,886;0,166;0,927;-0,456;1,325;-1,644;0,861;0,151;-0,333
18;22;LO;female;621,49;676,39;611,19;17,2;234;62;52;very high;very high;medium;16;;5;0,695;1,054;19,5;1,049;0,311;1,312;-0,873;-1,432;-0,456;2,211;0,218;0,861;2,215;0,511
19;22;LO;female;564,08;643,53;566,14;17,6;171;47;51;medium;medium;medium;12;51;4;0,281;0,767;15,8;1,049;0,311;1,069;-0,625;0,026;0,189;1,325;-0,378;0,861;0,749;-0,378
20;22;LO;female;478,75;538,16;486,40;17,0;149;51;36;low;medium;very low;12;34;3;-0,870;-0,494;6,3;-0,599;-0,560;-0,697;0,166;1,262;1,223;-0,782;-1,644;0,861;2,215;0,801
21;22;LO;female;576,78;586,06;589,34;17,6;206;54;49;high;high;medium;16;69;6;1,810;1,857;35,1;1,049;1,314;2,267;-0,873;0,026;-0,217;2,211;-0,792;0,861;0,749;0,235
22;22;LO;male;561,73;508,37;529,34;17,4;159;43;52;low;low;medium;16;69;5;1,246;0,251;10,8;1,049;1,314;0,841;0,666;-0,287;0,675;1,325;-1,644;-0,108;-0,078;1,142
23;22;LO;female;552,31;589,31;611,39;17,2;183;49;49;medium;medium;medium;12;67;3;0,531;0,000;9,0;1,049;1,314;0,622;-1,089;1,262;-1,847;0,318;-1,644;-0,108;2,215;-0,816
24;22;LO;female;591,06;621,67;623,08;17,8;127;39;54;very low;low;high;16;90;3;1,720;0,251;10,8;-0,599;1,314;0,622;-1,089;0,351;-1,847;1,325;-1,644;0,861;0,749;-1,690
25;22;LO;male;520,32;515,34;555,41;17,8;188;56;45;medium;high;medium;16;69;3;1,432;0,767;15,8;1,049;1,314;1,312;0,666;1,262;0,081;2,211;-0,097;-0,108;-0,719;-1,690
26;22;LO;male;557,49;531,34;565,57;18,2;150;42;50;low;low;medium;12;57;;0,763;1,393;25,0;1,049;1,314;1,886;0,166;1,262;0,189;2,211;-0,792;0,861;-0,962;-0,378
27;22;LO;male;533,81;558,00;488,50;17,0;186;50;55;medium;medium;high;16;69;4;0,995;0,251;10,8;0,078;0,311;0,206;-0,625;0,642;1,321;2,211;0,885;0,861;0,151;-1,690
28;22;LO;male;584,00;534,38;512,85;17,9;199;57;54;high;high;high;12;51;4;0,603;1,393;25,0;1,049;1,314;1,886;0,666;0,026;-0,864;1,325;-1,644;-0,108;0,151;0,511
29;22;LO;male;429,97;551,22;493,68;17,3;172;41;50;medium;low;medium;16;85;3;1,130;-1,293;3,5;1,049;1,314;-0,535;-0,625;-0,287;-0,217;0,318;-1,644;-0,108;1,230;-1,690
30;22;LO;male;605,02;634,72;579,75;17,1;175;37;53;medium;low;high;16;69;3;1,659;1,393;25,0;1,049;1,314;1,886;0,666;1,262;-0,456;1,325;-1,644;0,861;0,416;-0,816
31;22;LO;male;660,54;581,83;637,27;17,0;147;49;59;low;medium;high;12;;4;-0,577;0,504;13,0;1,049;0,311;0,841;0,166;1,838;-0,864;1,325;-0,792;0,861;2,215;-0,378
32;22;LO;male;593,41;576,12;589,92;17,5;153;53;47;low;high;medium;11;54;4;-0,124;0,504;13,0;1,049;-1,739;0,206;-0,308;1,262;-0,217;1,325;-0,097;0,861;0,416;-0,816
33;100;LO;female;392,17;405,49;432,53;17,2;163;37;23;low;low;very low;11;34;5;-0,811;0,000;9,0;-0,599;0,311;-0,183;-0,625;-1,211;1,223;0,318;0,980;0,861;0,749;0,801
34;100;LO;female;390,44;452,19;412,97;17,3;204;43;48;high;low;medium;11;29;2;-1,268;-1,293;3,5;0,078;0,311;-1,003;0,666;-2,809;-0,456;0,318;-0,097;0,861;;
35;100;LO;female;351,70;363,00;373,48;;;;;;;;12;43;4;-0,109;0,504;13,0;1,049;0,311;0,622;-0,625;-0,547;0,451;2,211;-0,097;0,861;-0,292;1,142
36;100;LO;female;543,53;557,78;594,13;17,0;147;39;48;low;low;medium;16;66;3;0,837;-0,722;5,3;1,049;1,314;0,007;1,381;0,351;1,036;0,318;0,288;0,861;;
37;100;LO;female;417,73;365,55;349,33;17,2;164;53;37;low;high;very low;11;50;5;0,020;1,054;19,5;1,049;-0,560;0,841;1,775;0,351;1,707;1,325;0,116;-1,417;;1,434
38;100;LO;female;479,22;507,29;516,49;18,0;195;49;49;high;medium;medium;11;51;5;-0,040;0,251;10,8;1,049;1,314;0,622;-0,308;0,642;-0,217;0,318;0,116;-0,108;1,230;0,511
39;100;LO;female;441,42;509,93;520,14;;;;;;;;11;29;4;-1,083;-0,494;6,3;1,049;-1,739;-0,535;0,166;0,642;0,371;0,318;-0,097;0,861;0,749;-0,051
40;32;LO;female;446,91;528,86;449,59;17,8;182;50;48;medium;medium;medium;11;51;5;-0,123;1,054;19,5;1,049;-1,739;0,410;-1,489;-0,287;0,285;0,318;-1,644;-0,108;1,997;-0,378
41;32;LO;female;496,79;528,70;496,17;18,9;158;40;43;low;low;low;11;56;5;0,180;0,767;15,8;0,078;0,311;0,841;-1,290;0,026;0,528;-1,531;-0,792;-0,108;0,749;1,621
42;32;LO;female;462,59;568,59;462,05;17,0;201;46;45;high;medium;medium;;45;4;0,219;0,504;13,0;0,078;0,311;0,410;-1,489;0,642;0,189;1,325;-0,097;0,861;1,230;1,142
43;32;LO;female;472,48;504,27;429,27;17,8;183;49;51;medium;medium;medium;11;43;4;-0,496;-0,250;7,5;1,049;-0,560;0,007;-0,308;0,351;1,223;0,318;-1,644;-0,108;-0,078;-1,690
44;32;LO;female;520,79;602,43;504,22;17,1;200;55;47;high;high;medium;11;;7;0,303;0,504;13,0;0,078;-0,560;0,410;-1,089;0,351;1,707;-0,782;0,678;0,861;2,215;-0,816
45;32;LO;female;575,06;607,42;518,60;17,2;132;44;50;very low;low;medium;11;30;2;-0,764;-0,250;7,5;1,049;0,311;0,206;-0,873;0,026;0,602;0,318;-1,644;-0,108;-0,719;-1,690
46;32;LO;female;483,46;570,06;484,86;17,5;195;52;40;high;high;low;16;51;4;0,856;1,054;19,5;0,078;1,314;1,069;0,666;0,927;-0,049;0,318;0,288;-0,751;1,230;-0,378
47;32;LO;female;543,84;529,51;515,73;17,0;165;46;44;low;medium;low;16;56;2;0,990;0,251;10,8;1,049;1,314;1,069;0,666;-0,287;0,081;1,325;-0,378;-0,108;2,215;1,621
